"자치구별(1)","자치구별(2)",장소별(1),2019
"서울시","소계",공원 및 산 등의 산책로,52.1
"서울시","소계",민간상업 체육시설,19.1
"서울시","소계",학교체육시설,6.0
"서울시","소계",집에서 간단한 운동,12.0
"서울시","소계",지자체 및 공공기관운영 시설,8.4
"서울시","소계",직장내 체육시설,2.4
"서울시","소계",기타,0.1
"성별","남자",공원 및 산 등의 산책로,52.3
"성별","남자",민간상업 체육시설,21.6
"성별","남자",학교체육시설,7.4
"성별","남자",집에서 간단한 운동,9.7
"성별","남자",지자체 및 공공기관운영 시설,5.7
"성별","남자",직장내 체육시설,3.2
"성별","남자",기타,0.1
"성별","여자",공원 및 산 등의 산책로,51.8
"성별","여자",민간상업 체육시설,16.6
"성별","여자",학교체육시설,4.6
"성별","여자",집에서 간단한 운동,14.3
"성별","여자",지자체 및 공공기관운영 시설,11.0
"성별","여자",직장내 체육시설,1.5
"성별","여자",기타,0.1
"연령별","10대",공원 및 산 등의 산책로,25.3
"연령별","10대",민간상업 체육시설,8.7
"연령별","10대",학교체육시설,50.1
"연령별","10대",집에서 간단한 운동,13.1
"연령별","10대",지자체 및 공공기관운영 시설,2.6
"연령별","10대",직장내 체육시설,0.2
"연령별","10대",기타,0.0
"연령별","20대",공원 및 산 등의 산책로,36.7
"연령별","20대",민간상업 체육시설,28.2
"연령별","20대",학교체육시설,12.4
"연령별","20대",집에서 간단한 운동,14.3
"연령별","20대",지자체 및 공공기관운영 시설,5.3
"연령별","20대",직장내 체육시설,3.1
"연령별","20대",기타,0.0
"연령별","30대",공원 및 산 등의 산책로,42.9
"연령별","30대",민간상업 체육시설,29.3
"연령별","30대",학교체육시설,2.6
"연령별","30대",집에서 간단한 운동,15.0
"연령별","30대",지자체 및 공공기관운영 시설,5.8
"연령별","30대",직장내 체육시설,4.0
"연령별","30대",기타,0.4
"연령별","40대",공원 및 산 등의 산책로,49.4
"연령별","40대",민간상업 체육시설,23.4
"연령별","40대",학교체육시설,2.0
"연령별","40대",집에서 간단한 운동,12.1
"연령별","40대",지자체 및 공공기관운영 시설,9.7
"연령별","40대",직장내 체육시설,3.2
"연령별","40대",기타,0.2
"연령별","50대",공원 및 산 등의 산책로,56.2
"연령별","50대",민간상업 체육시설,17.3
"연령별","50대",학교체육시설,2.2
"연령별","50대",집에서 간단한 운동,11.3
"연령별","50대",지자체 및 공공기관운영 시설,10.6
"연령별","50대",직장내 체육시설,2.3
"연령별","50대",기타,0.0
"연령별","60대 이상",공원 및 산 등의 산책로,70.9
"연령별","60대 이상",민간상업 체육시설,7.4
"연령별","60대 이상",학교체육시설,1.5
"연령별","60대 이상",집에서 간단한 운동,8.9
"연령별","60대 이상",지자체 및 공공기관운영 시설,10.4
"연령별","60대 이상",직장내 체육시설,0.9
"연령별","60대 이상",기타,0.0
"학력별","중졸 이하",공원 및 산 등의 산책로,69.6
"학력별","중졸 이하",민간상업 체육시설,4.1
"학력별","중졸 이하",학교체육시설,5.2
"학력별","중졸 이하",집에서 간단한 운동,10.4
"학력별","중졸 이하",지자체 및 공공기관운영 시설,9.8
"학력별","중졸 이하",직장내 체육시설,0.9
"학력별","중졸 이하",기타,0.0
"학력별","고졸 이하",공원 및 산 등의 산책로,61.0
"학력별","고졸 이하",민간상업 체육시설,10.4
"학력별","고졸 이하",학교체육시설,7.6
"학력별","고졸 이하",집에서 간단한 운동,10.8
"학력별","고졸 이하",지자체 및 공공기관운영 시설,9.1
"학력별","고졸 이하",직장내 체육시설,1.0
"학력별","고졸 이하",기타,0.0
"학력별","대졸 이하",공원 및 산 등의 산책로,43.7
"학력별","대졸 이하",민간상업 체육시설,26.8
"학력별","대졸 이하",학교체육시설,5.2
"학력별","대졸 이하",집에서 간단한 운동,13.1
"학력별","대졸 이하",지자체 및 공공기관운영 시설,7.7
"학력별","대졸 이하",직장내 체육시설,3.4
"학력별","대졸 이하",기타,0.2
"학력별","대학원 이상",공원 및 산 등의 산책로,34.0
"학력별","대학원 이상",민간상업 체육시설,38.3
"학력별","대학원 이상",학교체육시설,8.3
"학력별","대학원 이상",집에서 간단한 운동,9.3
"학력별","대학원 이상",지자체 및 공공기관운영 시설,6.4
"학력별","대학원 이상",직장내 체육시설,3.2
"학력별","대학원 이상",기타,0.5
"소득별","100만원 미만",공원 및 산 등의 산책로,70.4
"소득별","100만원 미만",민간상업 체육시설,5.9
"소득별","100만원 미만",학교체육시설,11.0
"소득별","100만원 미만",집에서 간단한 운동,5.9
"소득별","100만원 미만",지자체 및 공공기관운영 시설,6.5
"소득별","100만원 미만",직장내 체육시설,0.3
"소득별","100만원 미만",기타,-
"소득별","100-200만원 미만",공원 및 산 등의 산책로,73.5
"소득별","100-200만원 미만",민간상업 체육시설,4.9
"소득별","100-200만원 미만",학교체육시설,4.5
"소득별","100-200만원 미만",집에서 간단한 운동,9.6
"소득별","100-200만원 미만",지자체 및 공공기관운영 시설,7.3
"소득별","100-200만원 미만",직장내 체육시설,0.2
"소득별","100-200만원 미만",기타,0.1
"소득별","200-300만원 미만",공원 및 산 등의 산책로,55.7
"소득별","200-300만원 미만",민간상업 체육시설,16.5
"소득별","200-300만원 미만",학교체육시설,2.9
"소득별","200-300만원 미만",집에서 간단한 운동,15.6
"소득별","200-300만원 미만",지자체 및 공공기관운영 시설,7.5
"소득별","200-300만원 미만",직장내 체육시설,1.8
"소득별","200-300만원 미만",기타,-
"소득별","300-400만원 미만",공원 및 산 등의 산책로,53.6
"소득별","300-400만원 미만",민간상업 체육시설,17.2
"소득별","300-400만원 미만",학교체육시설,5.1
"소득별","300-400만원 미만",집에서 간단한 운동,12.4
"소득별","300-400만원 미만",지자체 및 공공기관운영 시설,9.3
"소득별","300-400만원 미만",직장내 체육시설,2.1
"소득별","300-400만원 미만",기타,0.3
"소득별","400-500만원 미만",공원 및 산 등의 산책로,51.9
"소득별","400-500만원 미만",민간상업 체육시설,19.7
"소득별","400-500만원 미만",학교체육시설,6.1
"소득별","400-500만원 미만",집에서 간단한 운동,11.4
"소득별","400-500만원 미만",지자체 및 공공기관운영 시설,8.3
"소득별","400-500만원 미만",직장내 체육시설,2.5
"소득별","400-500만원 미만",기타,0.2
"소득별","500만원 이상",공원 및 산 등의 산책로,45.5
"소득별","500만원 이상",민간상업 체육시설,23.7
"소득별","500만원 이상",학교체육시설,6.9
"소득별","500만원 이상",집에서 간단한 운동,12.0
"소득별","500만원 이상",지자체 및 공공기관운영 시설,8.6
"소득별","500만원 이상",직장내 체육시설,3.1
"소득별","500만원 이상",기타,0.1
"혼인상태별","기혼",공원 및 산 등의 산책로,57.3
"혼인상태별","기혼",민간상업 체육시설,17.3
"혼인상태별","기혼",학교체육시설,2.0
"혼인상태별","기혼",집에서 간단한 운동,11.2
"혼인상태별","기혼",지자체 및 공공기관운영 시설,9.7
"혼인상태별","기혼",직장내 체육시설,2.3
"혼인상태별","기혼",기타,0.1
"혼인상태별","미혼",공원 및 산 등의 산책로,33.4
"혼인상태별","미혼",민간상업 체육시설,27.3
"혼인상태별","미혼",학교체육시설,16.5
"혼인상태별","미혼",집에서 간단한 운동,14.7
"혼인상태별","미혼",지자체 및 공공기관운영 시설,4.7
"혼인상태별","미혼",직장내 체육시설,3.1
"혼인상태별","미혼",기타,0.2
"혼인상태별","이혼/사별/기타",공원 및 산 등의 산책로,68.5
"혼인상태별","이혼/사별/기타",민간상업 체육시설,9.4
"혼인상태별","이혼/사별/기타",학교체육시설,1.6
"혼인상태별","이혼/사별/기타",집에서 간단한 운동,10.0
"혼인상태별","이혼/사별/기타",지자체 및 공공기관운영 시설,9.8
"혼인상태별","이혼/사별/기타",직장내 체육시설,0.8
"혼인상태별","이혼/사별/기타",기타,0.0
"지역대분류","도심권",공원 및 산 등의 산책로,50.6
"지역대분류","도심권",민간상업 체육시설,20.8
"지역대분류","도심권",학교체육시설,9.0
"지역대분류","도심권",집에서 간단한 운동,12.7
"지역대분류","도심권",지자체 및 공공기관운영 시설,5.3
"지역대분류","도심권",직장내 체육시설,1.6
"지역대분류","도심권",기타,-
"지역대분류","동북권",공원 및 산 등의 산책로,56.1
"지역대분류","동북권",민간상업 체육시설,17.0
"지역대분류","동북권",학교체육시설,5.3
"지역대분류","동북권",집에서 간단한 운동,12.5
"지역대분류","동북권",지자체 및 공공기관운영 시설,6.9
"지역대분류","동북권",직장내 체육시설,2.2
"지역대분류","동북권",기타,0.1
"지역대분류","서북권",공원 및 산 등의 산책로,58.2
"지역대분류","서북권",민간상업 체육시설,18.2
"지역대분류","서북권",학교체육시설,6.0
"지역대분류","서북권",집에서 간단한 운동,8.8
"지역대분류","서북권",지자체 및 공공기관운영 시설,7.4
"지역대분류","서북권",직장내 체육시설,1.4
"지역대분류","서북권",기타,-
"지역대분류","서남권",공원 및 산 등의 산책로,47.2
"지역대분류","서남권",민간상업 체육시설,20.2
"지역대분류","서남권",학교체육시설,6.2
"지역대분류","서남권",집에서 간단한 운동,11.9
"지역대분류","서남권",지자체 및 공공기관운영 시설,11.5
"지역대분류","서남권",직장내 체육시설,2.7
"지역대분류","서남권",기타,0.3
"지역대분류","동남권",공원 및 산 등의 산책로,50.0
"지역대분류","동남권",민간상업 체육시설,20.9
"지역대분류","동남권",학교체육시설,5.9
"지역대분류","동남권",집에서 간단한 운동,13.2
"지역대분류","동남권",지자체 및 공공기관운영 시설,7.1
"지역대분류","동남권",직장내 체육시설,2.9
"지역대분류","동남권",기타,-
"지역소분류","종로구",공원 및 산 등의 산책로,57.9
"지역소분류","종로구",민간상업 체육시설,17.4
"지역소분류","종로구",학교체육시설,11.3
"지역소분류","종로구",집에서 간단한 운동,9.0
"지역소분류","종로구",지자체 및 공공기관운영 시설,3.9
"지역소분류","종로구",직장내 체육시설,0.4
"지역소분류","종로구",기타,-
"지역소분류","중구",공원 및 산 등의 산책로,55.3
"지역소분류","중구",민간상업 체육시설,13.9
"지역소분류","중구",학교체육시설,16.4
"지역소분류","중구",집에서 간단한 운동,5.1
"지역소분류","중구",지자체 및 공공기관운영 시설,9.0
"지역소분류","중구",직장내 체육시설,0.4
"지역소분류","중구",기타,-
"지역소분류","용산구",공원 및 산 등의 산책로,43.4
"지역소분류","용산구",민간상업 체육시설,26.5
"지역소분류","용산구",학교체육시설,3.6
"지역소분류","용산구",집에서 간단한 운동,19.1
"지역소분류","용산구",지자체 및 공공기관운영 시설,4.3
"지역소분류","용산구",직장내 체육시설,3.1
"지역소분류","용산구",기타,-
"지역소분류","성동구",공원 및 산 등의 산책로,49.6
"지역소분류","성동구",민간상업 체육시설,15.9
"지역소분류","성동구",학교체육시설,3.3
"지역소분류","성동구",집에서 간단한 운동,19.8
"지역소분류","성동구",지자체 및 공공기관운영 시설,9.0
"지역소분류","성동구",직장내 체육시설,2.4
"지역소분류","성동구",기타,-
"지역소분류","광진구",공원 및 산 등의 산책로,57.4
"지역소분류","광진구",민간상업 체육시설,16.2
"지역소분류","광진구",학교체육시설,3.8
"지역소분류","광진구",집에서 간단한 운동,12.5
"지역소분류","광진구",지자체 및 공공기관운영 시설,6.8
"지역소분류","광진구",직장내 체육시설,2.7
"지역소분류","광진구",기타,0.5
"지역소분류","동대문구",공원 및 산 등의 산책로,55.3
"지역소분류","동대문구",민간상업 체육시설,15.3
"지역소분류","동대문구",학교체육시설,6.9
"지역소분류","동대문구",집에서 간단한 운동,8.0
"지역소분류","동대문구",지자체 및 공공기관운영 시설,12.6
"지역소분류","동대문구",직장내 체육시설,1.8
"지역소분류","동대문구",기타,-
"지역소분류","중랑구",공원 및 산 등의 산책로,52.2
"지역소분류","중랑구",민간상업 체육시설,18.0
"지역소분류","중랑구",학교체육시설,9.1
"지역소분류","중랑구",집에서 간단한 운동,9.3
"지역소분류","중랑구",지자체 및 공공기관운영 시설,8.8
"지역소분류","중랑구",직장내 체육시설,2.5
"지역소분류","중랑구",기타,-
"지역소분류","성북구",공원 및 산 등의 산책로,56.7
"지역소분류","성북구",민간상업 체육시설,20.6
"지역소분류","성북구",학교체육시설,5.1
"지역소분류","성북구",집에서 간단한 운동,14.6
"지역소분류","성북구",지자체 및 공공기관운영 시설,2.1
"지역소분류","성북구",직장내 체육시설,0.9
"지역소분류","성북구",기타,-
"지역소분류","강북구",공원 및 산 등의 산책로,52.1
"지역소분류","강북구",민간상업 체육시설,18.3
"지역소분류","강북구",학교체육시설,3.5
"지역소분류","강북구",집에서 간단한 운동,17.6
"지역소분류","강북구",지자체 및 공공기관운영 시설,6.8
"지역소분류","강북구",직장내 체육시설,1.7
"지역소분류","강북구",기타,-
"지역소분류","도봉구",공원 및 산 등의 산책로,68.4
"지역소분류","도봉구",민간상업 체육시설,10.9
"지역소분류","도봉구",학교체육시설,2.7
"지역소분류","도봉구",집에서 간단한 운동,9.3
"지역소분류","도봉구",지자체 및 공공기관운영 시설,7.2
"지역소분류","도봉구",직장내 체육시설,1.6
"지역소분류","도봉구",기타,-
"지역소분류","노원구",공원 및 산 등의 산책로,55.7
"지역소분류","노원구",민간상업 체육시설,18.7
"지역소분류","노원구",학교체육시설,6.6
"지역소분류","노원구",집에서 간단한 운동,10.8
"지역소분류","노원구",지자체 및 공공기관운영 시설,4.5
"지역소분류","노원구",직장내 체육시설,3.7
"지역소분류","노원구",기타,-
"지역소분류","은평구",공원 및 산 등의 산책로,51.7
"지역소분류","은평구",민간상업 체육시설,17.6
"지역소분류","은평구",학교체육시설,8.3
"지역소분류","은평구",집에서 간단한 운동,13.1
"지역소분류","은평구",지자체 및 공공기관운영 시설,8.0
"지역소분류","은평구",직장내 체육시설,1.4
"지역소분류","은평구",기타,-
"지역소분류","서대문구",공원 및 산 등의 산책로,62.4
"지역소분류","서대문구",민간상업 체육시설,16.4
"지역소분류","서대문구",학교체육시설,4.9
"지역소분류","서대문구",집에서 간단한 운동,6.4
"지역소분류","서대문구",지자체 및 공공기관운영 시설,8.5
"지역소분류","서대문구",직장내 체육시설,1.4
"지역소분류","서대문구",기타,-
"지역소분류","마포구",공원 및 산 등의 산책로,61.9
"지역소분류","마포구",민간상업 체육시설,20.5
"지역소분류","마포구",학교체육시설,4.5
"지역소분류","마포구",집에서 간단한 운동,5.9
"지역소분류","마포구",지자체 및 공공기관운영 시설,5.8
"지역소분류","마포구",직장내 체육시설,1.4
"지역소분류","마포구",기타,-
"지역소분류","양천구",공원 및 산 등의 산책로,30.0
"지역소분류","양천구",민간상업 체육시설,35.5
"지역소분류","양천구",학교체육시설,1.6
"지역소분류","양천구",집에서 간단한 운동,5.1
"지역소분류","양천구",지자체 및 공공기관운영 시설,25.9
"지역소분류","양천구",직장내 체육시설,1.8
"지역소분류","양천구",기타,-
"지역소분류","강서구",공원 및 산 등의 산책로,56.6
"지역소분류","강서구",민간상업 체육시설,15.7
"지역소분류","강서구",학교체육시설,4.4
"지역소분류","강서구",집에서 간단한 운동,12.4
"지역소분류","강서구",지자체 및 공공기관운영 시설,9.4
"지역소분류","강서구",직장내 체육시설,1.6
"지역소분류","강서구",기타,-
"지역소분류","구로구",공원 및 산 등의 산책로,50.9
"지역소분류","구로구",민간상업 체육시설,13.9
"지역소분류","구로구",학교체육시설,7.2
"지역소분류","구로구",집에서 간단한 운동,14.6
"지역소분류","구로구",지자체 및 공공기관운영 시설,8.5
"지역소분류","구로구",직장내 체육시설,4.9
"지역소분류","구로구",기타,-
"지역소분류","금천구",공원 및 산 등의 산책로,60.8
"지역소분류","금천구",민간상업 체육시설,11.9
"지역소분류","금천구",학교체육시설,5.2
"지역소분류","금천구",집에서 간단한 운동,14.9
"지역소분류","금천구",지자체 및 공공기관운영 시설,4.2
"지역소분류","금천구",직장내 체육시설,3.1
"지역소분류","금천구",기타,-
"지역소분류","영등포구",공원 및 산 등의 산책로,33.4
"지역소분류","영등포구",민간상업 체육시설,21.9
"지역소분류","영등포구",학교체육시설,12.9
"지역소분류","영등포구",집에서 간단한 운동,11.5
"지역소분류","영등포구",지자체 및 공공기관운영 시설,13.2
"지역소분류","영등포구",직장내 체육시설,5.0
"지역소분류","영등포구",기타,2.2
"지역소분류","동작구",공원 및 산 등의 산책로,53.9
"지역소분류","동작구",민간상업 체육시설,19.5
"지역소분류","동작구",학교체육시설,6.9
"지역소분류","동작구",집에서 간단한 운동,10.4
"지역소분류","동작구",지자체 및 공공기관운영 시설,7.3
"지역소분류","동작구",직장내 체육시설,1.9
"지역소분류","동작구",기타,0.1
"지역소분류","관악구",공원 및 산 등의 산책로,49.3
"지역소분류","관악구",민간상업 체육시설,19.4
"지역소분류","관악구",학교체육시설,5.7
"지역소분류","관악구",집에서 간단한 운동,15.3
"지역소분류","관악구",지자체 및 공공기관운영 시설,8.7
"지역소분류","관악구",직장내 체육시설,1.7
"지역소분류","관악구",기타,-
"지역소분류","서초구",공원 및 산 등의 산책로,48.6
"지역소분류","서초구",민간상업 체육시설,25.4
"지역소분류","서초구",학교체육시설,7.9
"지역소분류","서초구",집에서 간단한 운동,10.3
"지역소분류","서초구",지자체 및 공공기관운영 시설,4.9
"지역소분류","서초구",직장내 체육시설,2.9
"지역소분류","서초구",기타,-
"지역소분류","강남구",공원 및 산 등의 산책로,42.5
"지역소분류","강남구",민간상업 체육시설,28.1
"지역소분류","강남구",학교체육시설,6.8
"지역소분류","강남구",집에서 간단한 운동,11.3
"지역소분류","강남구",지자체 및 공공기관운영 시설,8.2
"지역소분류","강남구",직장내 체육시설,3.1
"지역소분류","강남구",기타,-
"지역소분류","송파구",공원 및 산 등의 산책로,58.9
"지역소분류","송파구",민간상업 체육시설,15.9
"지역소분류","송파구",학교체육시설,3.9
"지역소분류","송파구",집에서 간단한 운동,9.3
"지역소분류","송파구",지자체 및 공공기관운영 시설,9.9
"지역소분류","송파구",직장내 체육시설,2.1
"지역소분류","송파구",기타,-
"지역소분류","강동구",공원 및 산 등의 산책로,48.5
"지역소분류","강동구",민간상업 체육시설,13.9
"지역소분류","강동구",학교체육시설,5.4
"지역소분류","강동구",집에서 간단한 운동,24.4
"지역소분류","강동구",지자체 및 공공기관운영 시설,4.0
"지역소분류","강동구",직장내 체육시설,3.7
"지역소분류","강동구",기타,-
