,공원구분,소재지지번주소,위도,경도,제공기관명
12300,어린이공원, 강서구 내발산,37.555822,126.826886,강서구
15477,어린이공원, 강서구 공항동,37.564793,126.819154,강서구
15478,어린이공원, 강서구 공항동,37.563003,126.818161,강서구
15479,어린이공원, 강서구 공항동,37.556989,126.817017,강서구
15480,어린이공원, 강서구 마곡동,37.570311,126.825543,강서구
15481,어린이공원, 강서구 마곡동,37.563515,126.822741,강서구
15482,어린이공원, 강서구 외발산,37.555856,126.825767,강서구
15745,어린이공원, 강서구 내발산,37.557413,126.842084,강서구
15746,어린이공원, 강서구 내발산,37.555964,126.837765,강서구
15747,어린이공원, 강서구 내발산,37.556117,126.840003,강서구
15748,어린이공원, 강서구 공항동,37.554197,126.815978,강서구
15749,어린이공원, 강서구 공항동,37.554534,126.818395,강서구
15750,어린이공원, 강서구 공항동,37.556809,126.813805,강서구
15751,어린이공원, 강서구 공항동,37.560635,126.811276,강서구
15752,어린이공원, 강서구 방화동,37.571198,126.815041,강서구
15753,어린이공원, 강서구 방화동,37.573113,126.812217,강서구
15754,어린이공원, 강서구 방화동,37.567986,126.816214,강서구
15755,어린이공원, 강서구 방화동,37.564839,126.815435,강서구
15756,어린이공원, 강서구 방화동,37.574806,126.812748,강서구
15757,어린이공원, 강서구 방화동,37.571792,126.819136,강서구
15758,어린이공원, 강서구 방화동,37.570583,126.821181,강서구
15759,어린이공원, 강서구 방화동,37.566522,126.806987,강서구
15760,어린이공원, 강서구 방화동,37.567221,126.806731,강서구
15761,어린이공원, 강서구 방화동,37.570073,126.808687,강서구
15762,어린이공원, 강서구 방화동,37.583724,126.816494,강서구
15763,어린이공원, 강서구 방화동,37.564958,126.807825,강서구
15764,어린이공원, 강서구 방화동,37.572699,126.809466,강서구
15765,어린이공원, 강서구 방화동,37.569485,126.809344,강서구
15766,어린이공원, 강서구 방화동,37.570621,126.806422,강서구
15767,어린이공원, 강서구 방화동,37.577955,126.810583,강서구
15768,어린이공원, 강서구 방화동,37.578615,126.814415,강서구
15769,어린이공원, 강서구 방화동,37.579358,126.810313,강서구
15770,어린이공원, 강서구 방화동,37.576054,126.818793,강서구
15771,어린이공원, 강서구 방화동,37.575238,126.818941,강서구
15772,어린이공원, 강서구 방화동,37.580248,126.812534,강서구
15773,어린이공원, 강서구 공항동,37.563075,126.818681,강서구
16549,어린이공원, 강서구 가양동,37.562509,126.860808,강서구
16550,어린이공원, 강서구 내발산,37.552042,126.833204,강서구
16551,어린이공원, 강서구 내발산,37.546857,126.822944,강서구
16552,어린이공원, 강서구 내발산,37.554331,126.827431,강서구
