,관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자,제공기관코드,제공기관명
136,11530-00059,오류동(대체공원),소공원,, 구로구 오류동,37.4934436,126.842953,895.0,체력단련시설 4점,,,,,2018-08-23,서울특별시 구로구청,02-860-3090,2023-01-27,3160000,구로구
244,11170-00001,효창공원,근린공원,서울특별시 용산구 임정로 26, 용산구 효창동,37.544278,126.959255,171277.0,운동장+배드민턴장+게이트볼장 등,조합놀이대+그네 등,주차장+매점+화장실+음수대 등,동상+탑기념비,,1940-03-12,서울특별시 용산구청,02-2199-7594,2022-12-20,3020000,용산구
245,11170-00002,새나라어린이공원,어린이공원,서울특별시 용산구 후암로13가길 25, 용산구 후암동,37.548319,126.9763669,2340.0,다목적 인조잔디마당,조합놀이대+그네 등,화장실+음수대,,,1940-03-12,서울특별시 용산구청,02-2199-7605,2022-12-20,3020000,용산구
257,11170-00014,응봉공원,근린공원,, 용산구 한남동,37.544987,127.0047763,187834.0,테니스장+배드민턴장 등,조합놀이대+모래놀이터 등,주차장+화장실,,,1977-07-09,서울특별시 용산구청,02-2199-7593,2022-12-20,3020000,용산구
258,11170-00015,동빙고공원,근린공원,, 용산구 용산동,37.517396,126.983984,55740.0,테니스장 등,,주차장+화장실,문화회관,,1977-07-09,서울특별시 용산구청,02-2199-7603,2022-12-20,3020000,용산구
832,11740-00018,새장터공원,어린이공원,서울특별시 강동구 암사1가길16(암사동), 강동구 암사1,37.55212624,127.130563,1592.0,체력단련기구,조합놀이대+그네,화장실+음수대,,,1976-04-22,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
833,11740-00019,광나루공원,어린이공원,서울특별시 강동구 상암로12-19(암사동), 강동구 암사2,37.5500717,127.1255454,1637.7,체력단련기구,조합놀이대+그네,화장실,,,1976-04-22,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
834,11740-00020,볕우물공원,어린이공원,서울특별시 강동구 고덕로24길23(암사동), 강동구 암사1,37.553613,127.135704,1552.8,체력단련기구,조합놀이대+그네+흔들놀이,음수대,,,1976-04-22,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
835,11740-00021,구암공원,어린이공원,, 강동구 암사3,37.556567,127.137608,1647.8,체력단련기구,조합놀이대+그네+흔들놀이+모래놀이터,음수대,,,1976-04-22,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
836,11740-00022,선사공원,어린이공원,서울특별시 강동구 올림픽로 836(암사동), 강동구 암사3,37.55576061,127.1299975,1610.3,체력단련기구,조합놀이대+흔들놀이,,,,1976-04-22,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
837,11740-00023,천사공원,어린이공원,서울특별시 강동구 천중로12길23-23(천호동), 강동구 천호2,37.54380935,127.1284086,1617.2,체력단련기구,조합놀이대+그네+시소+모래놀이터,음수대,,,1976-04-22,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
838,11740-00024,고분다리공원,어린이공원,서울특별시 강동구 구천면로39길23(천호동), 강동구 천호2,37.54540502,127.131821,1621.8,체력단련기구,조합놀이대+그네+흔들놀이,음수대,,,1976-04-22,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
839,11740-00025,동산공원,어린이공원,, 강동구 천호2,37.547119,127.129682,1646.0,체력단련기구,조합놀이대+그네+흔들놀이+모래놀이터,음수대,,,1976-04-22,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
840,11740-00026,광진공원,어린이공원,서울특별시 강동구 구천면로13길21(천호동), 강동구 천호2,37.542946,127.122505,1672.7,체력단련기구,조합놀이대+흔들놀이,,,,1976-04-22,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
841,11740-00027,천일골목공원,어린이공원,서울특별시 강동구 진황도로27다길30(천호동), 강동구 천호1,37.5405287,127.1314181,233.0,체력단련기구,,,,,1977-07-04,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
842,11740-00028,천호삼거리공원,어린이공원,, 강동구 천호1,37.545489,127.138494,170.0,체력단련기구,,,,,1977-07-04,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
843,11740-00029,천호큰골목공원,어린이공원,, 강동구 천호1,37.545101,127.138573,586.0,체력단련기구,,,,,1977-07-04,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
844,11740-00030,천암공원,어린이공원,, 강동구 천호1,37.547844,127.136878,166.0,체력단련기구,조합놀이대,,,,1977-07-04,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
845,11740-00031,성내공원,근린공원,서울특별시 강동구 성내로3가길 71(성내동), 강동구 성내1,37.529486,127.126516,8929.0,배드민턴장+게이트볼장+체력단련기구,조합놀이대+그네,화장실+공중전화,,,1977-07-09,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
846,11740-00032,샛마을공원,근린공원,, 강동구 명일1,37.550106,127.147099,11467.0,농구장+게이트볼장+체력단련기구,조합놀이대+그네+흔들놀이,화장실+음수대,,관리사무소,1979-11-07,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
