"구분별(1)",구분별(2),구분별(3),2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"구분별(1)",구분별(2),구분별(3),전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체
"서울시",소계,소계,21.3,21.7,22.7,23.7,23.2,23.9,24.7,25.7,25.7,28.8,31.8,28.9
"서울시",생애주기별,19~29세,13.7,13.1,15.4,15.1,14.6,14.4,16.3,17.4,18.9,21.0,22.9,23.2
"서울시",생애주기별,30~44세,22.7,22.9,23.6,24.7,25.0,25.4,26.1,27.1,26.1,29.4,32.5,31.2
"서울시",생애주기별,45~64세,24.1,24.4,25.5,26.5,25.2,26.6,26.7,27.5,28.1,31.2,33.0,30.3
"서울시",생애주기별,65세 이상,23.8,26.2,24.7,26.5,25.9,26.3,27.9,29.0,27.5,31.5,37.4,28.6
"서울시",교육수준별Ⅰ(30~64세),중졸이하,27.0,29.6,28.9,31.6,30.1,32.1,30.9,31.9,33.3,34.3,37.6,34.3
"서울시",교육수준별Ⅰ(30~64세),고졸,21.5,23.2,23.8,25.3,25.2,26.0,26.2,27.1,28.7,32.0,34.6,32.5
"서울시",교육수준별Ⅰ(30~64세),대졸이상,23.5,22.0,23.7,24.3,23.7,24.6,25.6,26.5,25.5,29.0,31.3,29.3
"서울시",교육수준별Ⅱ(65세 이상),초졸이하,24.5,27.4,25.4,29.0,27.4,27.9,30.5,30.3,29.2,36.6,42.0,32.5
"서울시",교육수준별Ⅱ(65세 이상),중졸,23.4,25.6,27.1,26.9,27.1,26.8,30.7,28.7,27.4,26.7,38.5,27.2
"서울시",교육수준별Ⅱ(65세 이상),고졸이상,23.0,24.6,23.0,23.6,23.7,24.5,24.5,28.0,26.0,29.1,32.8,25.7
"서울시",직업별(30~64세),육체직,25.6,27.6,26.8,28.9,29.4,30.7,32.0,31.3,31.9,35.0,38.0,34.8
"서울시",직업별(30~64세),서비스ㆍ판매직,24.1,25.3,28.9,28.0,26.9,27.8,27.1,30.1,30.6,33.5,37.1,34.4
"서울시",직업별(30~64세),사무직,26.5,25.1,26.0,28.2,26.5,27.3,28.1,29.1,28.4,30.8,33.3,31.4
"서울시",지역소분류,종로구,21.1,22.7,22.0,22.7,24.0,24.6,25.0,26.0,25.8,32.4,34.2,28.7
"서울시",지역소분류,중구,23.5,19.7,20.1,20.9,23.9,25.6,23.6,25.7,24.5,27.6,29.1,26.2
"서울시",지역소분류,용산구,19.5,17.7,22.6,27.7,22.5,25.0,24.7,24.0,25.8,24.7,26.5,25.5
"서울시",지역소분류,성동구,22.7,21.6,22.1,21.7,24.2,24.3,24.1,26.1,26.9,29.5,32.4,29.6
"서울시",지역소분류,광진구,20.2,21.0,20.6,21.3,20.8,21.6,24.5,25.9,24.7,30.5,28.9,25.1
"서울시",지역소분류,동대문구,20.0,22.7,26.3,27.4,26.1,26.7,25.4,28.0,27.3,30.3,36.1,31.3
"서울시",지역소분류,중랑구,18.2,26.6,26.5,24.9,24.4,28.4,25.8,28.3,30.3,34.2,36.2,31.9
"서울시",지역소분류,성북구,22.5,23.2,23.6,26.6,25.0,24.5,25.4,28.6,23.4,32.3,32.6,28.4
"서울시",지역소분류,강북구,23.4,22.1,25.3,23.8,24.1,24.8,29.5,29.3,29.6,28.5,30.3,31.2
"서울시",지역소분류,도봉구,21.5,26.6,24.7,25.1,27.4,23.7,25.9,27.8,28.5,27.9,36.6,34.2
"서울시",지역소분류,노원구,20.1,25.1,21.0,25.3,23.3,25.6,24.2,26.9,27.4,30.2,34.7,31.5
"서울시",지역소분류,은평구,23.5,23.8,23.5,21.4,23.1,23.2,24.4,26.8,27.7,33.7,33.0,28.8
"서울시",지역소분류,서대문구,19.4,22.6,25.6,25.7,26.1,24.6,23.5,23.6,27.0,27.8,31.6,27.5
"서울시",지역소분류,마포구,19.9,23.0,18.5,23.3,22.3,23.5,25.3,23.0,22.1,26.6,29.0,28.0
"서울시",지역소분류,양천구,25.4,19.4,23.1,24.3,24.4,21.8,23.1,26.2,26.0,29.5,34.2,29.1
"서울시",지역소분류,강서구,20.7,21.2,23.9,24.5,20.5,23.7,24.6,26.8,25.2,30.7,30.7,30.2
"서울시",지역소분류,구로구,25.4,21.3,24.8,22.2,27.3,26.8,25.6,29.5,27.7,31.3,33.0,29.6
"서울시",지역소분류,금천구,23.5,22.4,21.6,25.7,26.6,26.4,30.5,27.2,28.4,29.0,35.2,30.5
"서울시",지역소분류,영등포구,19.2,22.6,22.6,22.3,19.5,21.9,26.6,24.6,27.3,29.3,34.3,28.3
"서울시",지역소분류,동작구,20.8,24.7,22.5,23.7,23.5,20.8,25.7,21.7,25.2,27.6,30.0,29.9
"서울시",지역소분류,관악구,22.2,20.5,24.1,23.2,24.8,27.3,24.7,25.8,25.5,26.2,35.1,27.1
"서울시",지역소분류,서초구,22.5,19.4,20.9,20.9,20.0,21.9,22.4,21.5,24.1,23.8,25.1,24.7
"서울시",지역소분류,강남구,18.6,16.3,16.1,19.2,19.7,17.2,22.6,20.3,22.4,23.8,28.6,25.6
"서울시",지역소분류,송파구,19.9,17.9,22.7,24.6,19.9,22.5,22.7,21.4,21.6,24.7,27.9,27.0
"서울시",지역소분류,강동구,21.7,21.1,23.7,23.8,22.7,25.1,24.0,30.9,24.1,30.1,31.3,31.8
