,자치구,행적구역 면적(㎢),행정구역 인구,65세이상고령자,공원면적(천㎡)_x,1인당 공원면적(천㎡),도시공원면적(천㎡),1인당 도시공원면적(천㎡),도보생활권공원면적(천㎡),1인당도보생활권공원면적(천㎡),중복,면적대비공원수,공원수,공원수대비인구수,공원수대비고령자수
0,종로구,23.91,158996,27958,11404.09,74.15,6282.46,40.85,3026.45,19.68,5,1.7984107068172313,43,3697.5813953488373,650.1860465116279
1,중구,9.96,134635,25055,3178.19,24.12,3090.87,23.45,1359.55,10.32,3,3.8152610441767063,38,3543.0263157894738,659.3421052631579
2,용산구,21.87,244645,39037,1775.55,7.48,759.11,3.2,1612.66,6.8,3,2.1947873799725652,48,5096.770833333333,813.2708333333334
3,성동구,16.86,300505,47720,3074.32,10.5,1231.01,4.21,2896.42,9.9,1,2.8469750889679717,48,6260.520833333333,994.1666666666666
4,광진구,17.06,360109,54071,3459.84,9.81,2993.93,8.49,1351.39,3.83,2,2.5205158264947247,43,8374.627906976744,1257.4651162790697
5,동대문구,14.22,357014,64468,1216.01,3.45,974.89,2.77,1047.8,2.98,2,3.1645569620253164,45,7933.644444444444,1432.6222222222223
6,중랑구,18.5,399562,74920,5232.98,13.35,5050.31,12.89,1902.24,4.85,1,3.135135135135135,58,6889.0,1291.7241379310344
7,성북구,24.58,447056,77475,8491.6,19.29,4574.58,10.39,1636.95,3.72,9,2.156224572823434,53,8435.018867924528,1461.7924528301887
8,강북구,23.6,311569,66307,14383.64,47.54,2370.26,7.83,2035.69,6.73,1,2.3728813559322033,56,5563.732142857143,1184.0535714285713
9,도봉구,20.65,327361,66998,10160.38,31.81,1250.21,3.91,1121.06,3.51,2,3.438256658595642,71,4610.718309859155,943.6338028169014
10,노원구,35.44,527032,92040,14742.94,28.63,14407.85,27.98,1894.57,3.68,1,4.966139954853274,176,2994.5,522.9545454545455
11,은평구,29.71,484043,89650,14368.19,30.11,6600.0,13.83,2214.02,4.64,5,3.3995287781891617,101,4792.504950495049,887.6237623762377
12,서대문구,17.63,322952,55996,5098.92,16.15,4860.43,15.4,1123.69,3.56,5,3.119682359614294,55,5871.854545454546,1018.1090909090909
13,마포구,23.85,381858,55914,4570.84,12.07,3257.86,8.6,4342.8,11.47,0,3.522012578616352,84,4545.928571428572,665.6428571428571
14,양천구,17.41,457781,72393,3049.63,6.77,2627.05,5.83,2205.57,4.9,1,5.514072372199885,96,4768.552083333333,754.09375
15,강서구,41.44,585901,97128,4518.25,7.79,3433.88,5.92,3530.85,6.09,0,3.3542471042471043,139,4215.115107913669,698.7625899280575
16,구로구,20.12,432488,75890,3641.45,8.65,3319.7,7.88,1533.35,3.64,2,3.0318091451292246,61,7089.9672131147545,1244.0983606557377
17,금천구,13.02,247835,42928,2774.39,11.33,2610.41,10.66,563.75,2.3,2,3.993855606758833,52,4766.057692307692,825.5384615384615
18,영등포구,24.55,407367,64810,3009.09,7.51,664.47,1.66,2957.23,7.38,0,2.0366598778004072,50,8147.34,1296.2
19,동작구,16.35,401572,68231,4327.31,10.97,4091.1,10.37,2316.59,5.87,1,3.180428134556575,52,7722.538461538462,1312.1346153846155
20,관악구,29.57,509803,82447,12484.99,25.0,12424.35,24.88,1967.41,3.94,3,2.5701724721001016,76,6707.934210526316,1084.828947368421
21,서초구,46.98,429025,62347,15072.03,36.22,14267.75,34.28,2215.29,5.32,1,2.916134525329928,137,3131.5693430656934,455.0875912408759
22,강남구,39.5,544055,81715,7791.35,14.49,6501.69,12.09,3652.72,6.79,1,3.2911392405063293,130,4185.038461538462,628.5769230769231
23,송파구,33.87,673926,103573,4771.42,7.19,2097.14,3.16,4362.73,6.57,1,4.694419840566874,159,4238.528301886792,651.4025157232704
24,강동구,24.59,463998,78340,3407.66,7.31,2865.43,6.14,2127.21,4.56,1,3.009353395689305,74,6270.243243243243,1058.6486486486488
