,공원구분,소재지지번주소,위도,경도,공원면적
0,근린공원,  화곡동,37.55282,126.843808,359435.2
1,근린공원,  가양동,37.574254,126.841332,135002.7
2,근린공원,  염창동,37.557007,126.869821,112070.0
3,근린공원,  방화동,37.577983,126.808105,180000.0
4,근린공원,  화곡동,37.539906,126.849751,917190.0
5,근린공원,  개화동,37.588011,126.796781,386500.0
6,근린공원,  화곡동,37.552858,126.856221,74299.0
7,근린공원,  가양동,37.570635,126.849087,25680.4
8,근린공원,  가양동,37.567599,126.853729,29843.8
9,근린공원,  가양동,37.561783,126.864104,22002.9
10,근린공원,  등촌동,37.559782,126.842567,10096.4
11,근린공원,  등촌동,37.563683,126.841391,10051.6
12,근린공원,  등촌동,37.558865,126.849984,10248.8
13,근린공원,  방화동,37.580907,126.81412,72132.0
14,근린공원,  방화동,37.573562,126.821695,9723.6
15,근린공원,  등촌동,37.557535,126.852151,1980.4
16,근린공원,  화곡동,37.536938,126.843936,27658.0
17,근린공원,  내발산,37.550967,126.829893,83807.1
18,근린공원,  내발산,37.55454,126.825837,17825.5
19,근린공원,  마곡동,37.569783,126.823068,503875.0
20,근린공원,  방화동,37.566183,126.813091,17283.0
21,근린공원,  공항동,37.556699,126.812659,24597.0
22,어린이공원,  염창동,37.548414,126.874399,1805.1
23,어린이공원,  염창동,37.551163,126.869438,939.3
24,어린이공원,  염창동,37.551786,126.875286,862.5
25,어린이공원,  등촌동,37.559235,126.854759,879.7
26,어린이공원,  등촌동,37.55261,126.863328,993.6
27,어린이공원,  등촌동,37.556275,126.857379,970.9
28,어린이공원,  등촌동,37.555871,126.862861,1033.8
29,어린이공원,  등촌동,37.546638,126.859908,853.9
30,어린이공원,  등촌동,37.560723,126.843248,1791.8
31,어린이공원,  등촌동,37.561861,126.852004,1563.4
32,어린이공원,  등촌동,37.559303,126.844996,1547.4
33,어린이공원,  등촌동,37.562782,126.845988,1544.9
34,어린이공원,  등촌동,37.559106,126.847497,1538.3
35,어린이공원,  등촌동,37.560711,126.840279,1565.8
36,어린이공원,  등촌동,37.563238,126.848535,1594.5
37,어린이공원,  화곡동,37.543303,126.844116,833.0
38,어린이공원,  화곡동,37.541815,126.844354,4219.0
39,어린이공원,  화곡동,37.539908,126.843928,1031.0
40,어린이공원,  화곡동,37.538365,126.844436,1805.0
41,어린이공원,  화곡동,37.541392,126.846938,1086.0
42,어린이공원,  화곡동,37.544538,126.848941,1067.0
43,어린이공원,  화곡동,37.546097,126.845352,1507.0
44,어린이공원,  화곡동,37.547141,126.847807,942.0
45,어린이공원,  화곡동,37.546321,126.850461,539.0
46,어린이공원,  화곡동,37.540768,126.849087,929.0
47,어린이공원,  화곡동,37.539725,126.847003,256.0
48,어린이공원,  화곡동,37.538536,126.850451,965.0
49,어린이공원,  화곡동,37.529643,126.840748,1056.5
50,어린이공원,  화곡동,37.531101,126.841222,1087.2
51,어린이공원,  화곡동,37.531491,126.838777,1615.5
52,어린이공원,  화곡동,37.532101,126.844653,1290.6
53,어린이공원,  화곡동,37.528231,126.846009,811.6
54,어린이공원,  화곡동,37.529554,126.844986,1006.9
55,어린이공원,  화곡동,37.533313,126.85605,977.9
56,어린이공원,  화곡동,37.530115,126.856902,998.4
