"동별(1)",동별(2),동별(3),2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 4/4,2022 4/4,2022 4/4,2022 4/4,2022 4/4,2022 4/4
"동별(1)",동별(2),동별(3),세대 (세대),계,한국인,등록외국인,세대당인구,65세이상고령자,세대 (세대),계,한국인,등록외국인,세대당인구,65세이상고령자
"합계",소계,소계,4450525,9682126,9450768,231358,2.12,1650367,4446296,9667669,9428372,239297,2.12,1667411
"합계",종로구,소계,72797,151999,141978,10021,1.95,27787,72524,152211,141379,10832,1.95,27958
"합계",종로구,사직동,4583,9379,9126,253,1.99,1782,4570,9355,9087,268,1.99,1808
"합계",종로구,삼청동,1157,2659,2349,310,2.03,624,1148,2642,2331,311,2.03,626
"합계",종로구,부암동,4177,9590,9314,276,2.23,1806,4144,9536,9241,295,2.23,1814
"합계",종로구,평창동,7323,17952,17767,185,2.43,3477,7270,17858,17663,195,2.43,3495
"합계",종로구,무악동,3024,8084,8056,28,2.66,1458,3017,8052,8023,29,2.66,1476
"합계",종로구,교남동,4396,10048,9875,173,2.25,1643,4386,9994,9816,178,2.24,1656
"합계",종로구,가회동,1942,4086,3961,125,2.04,835,1931,4065,3941,124,2.04,840
"합계",종로구,종로1.2.3.4가동,4922,8519,6750,1769,1.37,1743,4926,8700,6728,1972,1.37,1757
"합계",종로구,종로5.6가동,3457,5509,5085,424,1.47,1070,3511,5817,5300,517,1.51,1068
"합계",종로구,이화동,4316,7629,7148,481,1.66,1343,4301,7631,7101,530,1.65,1358
"합계",종로구,창신1동,2743,5438,4709,729,1.72,1188,2706,5383,4646,737,1.72,1188
"합계",종로구,창신2동,4002,8816,7739,1077,1.93,1821,3995,8796,7706,1090,1.93,1848
"합계",종로구,창신3동,2778,6624,6476,148,2.33,1246,2777,6606,6449,157,2.32,1253
"합계",종로구,숭인1동,2969,6054,5783,271,1.95,1199,2970,6057,5769,288,1.94,1212
"합계",종로구,숭인2동,6552,10535,9855,680,1.50,1711,6548,10509,9807,702,1.50,1723
"합계",종로구,청운효자동,5154,11887,11693,194,2,2154,5129,11818,11628,190,2,2154
"합계",종로구,혜화동,9302,19190,16292,2898,1.75,2687,9195,19392,16143,3249,1.76,2682
"합계",중구,소계,63300,130764,120969,9795,1.91,24841,63139,130785,120437,10348,1.91,25055
"합계",중구,소공동,1298,3518,2243,1275,1.73,312,1286,3578,2244,1334,1.74,318
"합계",중구,회현동,2548,5246,4566,680,1.79,1312,2561,5222,4544,678,1.77,1323
"합계",중구,명동,1493,3706,2807,899,1.88,780,1457,3638,2739,899,1.88,778
"합계",중구,필동,2447,4652,3967,685,1.62,866,2431,4816,3973,843,1.63,885
"합계",중구,장충동,2851,5327,4612,715,1.62,858,2829,5326,4571,755,1.62,866
"합계",중구,광희동,3494,6587,5313,1274,1.52,1134,3424,6682,5202,1480,1.52,1124
"합계",중구,을지로동,1301,1902,1667,235,1.28,458,1297,1912,1661,251,1.28,468
"합계",중구,신당5동,5324,10517,10191,326,1.91,1871,5334,10513,10180,333,1.91,1875
"합계",중구,황학동,7171,13433,12587,846,1.76,2063,7199,13459,12604,855,1.75,2077
"합계",중구,중림동,5728,12323,12015,308,2.10,2194,5719,12338,12009,329,2.10,2205
"합계",중구,신당동,4823,9118,7681,1437,1.59,1502,4808,9087,7618,1469,1.58,1517
"합계",중구,다산동,6814,14022,13545,477,1.99,2797,6821,13954,13474,480,1.98,2819
"합계",중구,약수동,7778,16627,16414,213,2.11,3938,7779,16610,16395,215,2.11,4001
"합계",중구,청구동,6224,13561,13302,259,2.14,2819,6205,13451,13199,252,2.13,2844
"합계",중구,동화동,4006,10225,10059,166,2.51,1937,3989,10199,10024,175,2.51,1955
"합계",용산구,후암동,8281,16858,16377,481,1.98,3011,8281,16812,16321,491,1.97,3008
"합계",용산구,용산2가동,5093,10420,9128,1292,1.79,2044,5057,10333,9016,1317,1.78,2045
"합계",용산구,남영동,5016,7540,7115,425,1.42,1546,5021,7552,7100,452,1.41,1562
"합계",용산구,원효로1동,9110,17584,16970,614,1.86,2028,9212,17774,17144,630,1.86,2076
"합계",용산구,원효로2동,6056,13794,13680,114,2.26,2315,6094,13795,13678,117,2.24,2331
"합계",용산구,효창동,4673,10823,10686,137,2.29,1566,4694,10888,10743,145,2.29,1579
"합계",용산구,용문동,5325,11693,11580,113,2.17,2157,5320,11664,11553,111,2.17,2172
"합계",용산구,이촌1동,9186,25750,25076,674,2.73,4273,9152,25707,25070,637,2.74,4306
"합계",용산구,이촌2동,3604,8140,8071,69,2.24,1773,3598,8094,8027,67,2.23,1792
"합계",용산구,이태원1동,3491,7935,6151,1784,1.76,1346,3467,7947,6117,1830,1.76,1346
"합계",용산구,이태원2동,4850,10432,8771,1661,1.81,1837,4837,10427,8731,1696,1.81,1861
"합계",용산구,서빙고동,5175,13582,12707,875,2.46,2127,5129,13458,12590,868,2.45,2146
"합계",용산구,보광동,7125,14187,12876,1311,1.81,2675,7072,14060,12715,1345,1.80,2668
"합계",용산구,청파동,11069,19835,19124,711,1.73,3213,11089,19833,19094,739,1.72,3234
"합계",용산구,한강로동,11435,22988,21331,1657,1.87,3211,11388,22886,21243,1643,1.87,3228
"합계",용산구,한남동,10465,22173,19632,2541,1.88,3662,10394,22054,19508,2546,1.88,3683
"합계",성동구,왕십리2동,7396,16648,16299,349,2.20,2604,7396,16688,16304,384,2.20,2657
"합계",성동구,마장동,10951,22727,22113,614,2.02,4014,10905,22706,22034,672,2.02,4041
"합계",성동구,사근동,8219,13837,12094,1743,1.47,1513,8148,14082,11981,2101,1.47,1521
