,거주자 인구수,남자 인구수,여자 인구수,행정동
1,"41,225","19,815","21,410",염창동
2,"24,628","11,349","13,279",등촌1동
3,"19,555","9,491","10,064",등촌2동
4,"29,506","13,946","15,560",등촌3동
5,"51,414","24,954","26,460",화곡1동
6,"17,379","8,399","8,980",화곡2동
7,"21,282","10,115","11,167",화곡3동
8,"19,995","9,795","10,200",화곡4동
9,"33,430","16,152","17,278",화곡본동
10,"24,822","11,888","12,934",화곡6동
11,"23,829","11,487","12,342",화곡8동
12,"33,908","15,377","18,531",가양1동
13,"13,668","6,447","7,221",가양2동
14,"14,439","6,701","7,738",가양3동
15,"35,765","16,846","18,919",발산1동
16,"43,164","20,620","22,544",우장산동
17,"30,051","15,158","14,893",공항동
18,"42,353","20,632","21,721",방화1동
19,"22,907","11,310","11,597",방화2동
20,"22,213","10,703","11,510",방화3동
